Date,BTC_USD,MSTR,MTPLF_USD,RSI,Signal
2017-01-04,1130.84951632073,19.7940006256104,2.89657522576248,NA,NA
2017-01-05,990.6675,19.9610004425049,2.85813268664473,NA,NA
2017-01-06,894.0325,19.9169998168945,2.73855370132649,NA,NA
2017-01-10,905.759462698434,20.0779991149902,2.76481769483325,NA,NA
2017-01-11,784.2775,20.1000003814697,2.75245140202993,NA,NA
2017-01-12,799.4275,20.0470008850098,2.81022218319136,NA,NA
2017-01-13,824.4988,20.3799991607666,2.95575067373729,NA,NA
2017-01-17,904.1525,20.0919990539551,2.8328611898017,NA,NA
2017-01-18,873.935,20.2509994506836,2.7336860670194,NA,NA
2017-01-19,896.89,19.8999996185303,3.12228967909801,NA,NA
2017-01-23,918.9075,20.5100002288818,2.83436669619132,NA,NA
2017-01-24,885.7888,20.2959995269775,2.81615770483147,NA,NA
2017-01-25,893.4738,20.3299999237061,2.8169014084507,NA,NA
2017-01-26,915.36,20.1299991607666,2.8770706190061,NA,NA
2017-01-27,918.2875,19.9580001831055,2.77874261896492,33.148945220713024,ENTRY
2017-01-30,920.991145882262,19.9459991455078,2.81046899701388,33.4561400528507,ENTRY
2017-01-31,968.2663,20.1299991607666,2.8388928317956,38.7556925441277,ENTRY
2017-02-01,986.572890345435,19.6509990692139,2.91287845352635,40.72433495826393,NA
2017-02-02,1008.40331822314,19.1499996185303,2.84495021337127,43.07423533458698,NA
2017-02-03,1015.4425,19.5480003356934,2.84646859989326,43.847251629529346,NA
2017-02-06,1024.51108860633,19.0300006866455,2.84900284900285,44.88560933420179,NA
2017-02-07,1051.5,18.798999786377,2.85357588728375,47.96926772439011,NA
2017-02-08,1055.3013,18.7490005493164,2.86379094326114,48.40711487375117,NA
2017-02-09,981.705,19.0009994506836,2.7375485694101,41.18152181658076,NA
2017-02-10,992.1113,18.9349994659424,2.82635576753224,42.48872277185235,NA
2017-02-13,996.103935869811,19.1340007781982,2.81219790842781,43.01203366795147,NA
2017-02-14,1010.10216185944,19.298999786377,2.79867063145006,44.90489061887379,NA
2017-02-15,1008.8813,19.4150009155273,2.89042655688885,44.76523650689366,NA
2017-02-16,1034.9038,19.2679996490479,2.91107974594213,48.44561804788813,NA
2017-02-17,1056.55809105298,19.2870006561279,3.27839801524012,51.3505623226352,NA
2017-02-21,1125.40881483565,19.5799999237061,2.90800140994008,59.21886037312712,NA
2017-02-22,1123.305,19.4599990844727,2.90851401374934,58.90535754650003,NA
2017-02-23,1185.65478468877,19.3299999237061,2.83990060347888,64.84523801449878,NA
2017-02-24,1180.871,19.4330005645752,2.85052556565117,64.07993066816472,NA
2017-02-27,1193.12951503696,19.4419994354248,2.85688777787698,65.21292220299087,NA
2017-02-28,1190.331,19.1879997253418,2.85561306442977,64.7111081723358,NA
2017-03-01,1227.47714896609,19.3780002593994,2.81541439380609,68.20811334375713,NA
2017-03-02,1262.081,19.0230007171631,2.79598077763215,71.08291620622177,EXIT
2017-03-03,1289.54061161915,19,2.79232111692845,73.15722681691642,EXIT
2017-03-06,1280.986,18.7950000762939,2.80898876404494,71.43797682024797,EXIT
2017-03-07,1233.056508408,18.7569999694824,2.80726379506974,62.566232618882395,NA
2017-03-08,1149.631,18.9160003662109,2.79280851806598,50.75181835850264,NA
2017-03-09,1191.2367224851,18.761999130249,2.70246709092494,55.28652789575537,NA
2017-03-10,1100.01058997121,18.69700050354,2.69518344635716,45.412664072528266,NA
2017-03-13,1243.26492239019,18.8850002288818,2.70482505889538,58.07500542502446,NA
2017-03-14,1246.55673948076,18.8619995117188,2.70435313617727,58.31429396125882,NA
2017-03-15,1258.457,19.0020008087158,2.70364556078842,59.22043729344494,NA
2017-03-16,1217.31454100788,19.1049995422363,2.74287736683773,54.786384706191875,NA
2017-03-17,1074.09386950625,19.1860008239746,2.75139788763646,42.778750076936255,NA
2017-03-21,1112.70153227299,18.798999786377,2.68096514745308,46.201739403929274,NA
2017-03-22,1039.84017264784,18.6949996948242,2.70124257158293,41.19349731971298,NA
2017-03-23,1029.1394137431,18.6410007476807,2.69978401727862,40.4991529496133,NA
2017-03-24,940.020626559104,18.6140003204346,2.70197243988111,35.18064914910907,ENTRY
2017-03-27,1042.60507261981,18.6940002441406,2.6249094858798,44.25555383763406,NA
2017-03-28,1044.722,18.7740001678467,2.62301013024602,44.4284554282951,NA
2017-03-29,1038.61719761625,18.7810001373291,2.70148581719946,44.004572889119714,NA
2017-03-30,1031.49290564616,18.8290004730225,2.69396551724138,43.483185589534365,NA
2017-03-31,1078.27471109061,18.7800006866455,2.51323938605152,47.85252586140068,NA
2017-04-03,1139.30827544555,18.7430000305176,2.52343186733958,52.961864947419684,NA
2017-04-04,1140.49759038017,18.625,2.52844500632111,53.05838161740425,NA
2017-04-05,1132.33990499278,18.4109992980957,2.51798561151079,52.26619431588109,NA
2017-04-06,1194.211,18.3490009307861,2.61214195640425,57.45457972321449,NA
2017-04-07,1189.77512370321,18.2800006866455,2.5279884434814,56.97641493146183,NA
2017-04-10,1210.515,18.4790000915527,2.43352861649392,58.706800543539345,NA
2017-04-11,1226.618,18.5669994354248,2.36923637689083,60.050292939189475,NA
2017-04-12,1218.299,18.3920001983643,2.37356216907066,58.98264048140647,NA
2017-04-13,1174.209,18.1609992980957,2.47184839329854,53.54867175543456,NA
2017-04-17,1205.143,18.4230003356934,2.48939701272358,56.57172742364212,NA
2017-04-18,1217.58,18.5410003662109,2.49077490774908,57.76191780251458,NA
2017-04-19,1225.721,18.5939998626709,2.47570144874381,58.562460759503296,NA
