"Date","BTC_USD","market_cap","total_volume","MSTR","MTPLF_USD"
2017-01-04,1130.84951632073,18187664239.8458,8705359110.27065,19.7940006256104,2.89657522576248
2017-01-05,990.6675,15934886737.5,12102750396.5643,19.9610004425049,2.85813268664473
2017-01-06,894.0325,14382278476.6875,10713248031.5943,19.9169998168945,2.73855370132649
2017-01-10,905.759462698434,14577733897.5269,3216810928.85098,20.0779991149902,2.76481769483325
2017-01-11,784.2775,12624083564.875,5258603516.37174,20.1000003814697,2.75245140202993
2017-01-12,799.4275,12869633173.255,3344901197.95181,20.0470008850098,2.81022218319136
2017-01-13,824.4988,13274790985.9756,1860269657.13357,20.3799991607666,2.95575067373729
2017-01-17,904.1525,14564800038.0175,1316827456.78866,20.0919990539551,2.8328611898017
2017-01-18,873.935,14079682756.125,1147970282.19446,20.2509994506836,2.7336860670194
2017-01-19,896.89,14451431614.25,875858520.403008,19.8999996185303,3.12228967909801
2017-01-23,918.9075,14814052397.8125,467022882.861243,20.5100002288818,2.83436669619132
2017-01-24,885.7888,14281760609.6256,378666162.591626,20.2959995269775,2.81615770483147
2017-01-25,893.4738,14407365094.0656,381951425.917959,20.3299999237061,2.8169014084507
2017-01-26,915.36,14762033604,58349366.781027,20.1299991607666,2.8770706190061
2017-01-27,918.2875,14811184892.8875,49029317.2121983,19.9580001831055,2.77874261896492
2017-01-30,920.991145882262,14860100039.6957,30166025.3961333,19.9459991455078,2.81046899701388
2017-01-31,968.2663,15624634422.4056,101775253.24281,20.1299991607666,2.8388928317956
2017-02-01,986.572890345435,15922459702.0932,92784081.5523147,19.6509990692139,2.91287845352635
2017-02-02,1008.40331822314,16276789219.9375,93269627.1718648,19.1499996185303,2.84495021337127
2017-02-03,1015.4425,16392262891.4375,138411478.189571,19.5480003356934,2.84646859989326
2017-02-06,1024.51108860633,16544150319.0518,73413586.5000326,19.0300006866455,2.84900284900285
2017-02-07,1051.5,16981015237.5,89525304.9223071,18.798999786377,2.85357588728375
2017-02-08,1055.3013,17045265643.7481,164316931.362495,18.7490005493164,2.86379094326114
2017-02-09,981.705,15858560740.5,333977588.235662,19.0009994506836,2.7375485694101
2017-02-10,992.1113,16028562068.1356,155061226.925056,18.9349994659424,2.82635576753224
2017-02-13,996.103935869811,16098583564.7568,75754126.5227377,19.1340007781982,2.81219790842781
2017-02-14,1010.10216185944,16326912555.9852,79285701.6993184,19.298999786377,2.79867063145006
2017-02-15,1008.8813,16308969767.02,38397960.0408794,19.4150009155273,2.89042655688885
2017-02-16,1034.9038,16731535006.8006,66797083.3923893,19.2679996490479,2.91107974594213
2017-02-17,1056.55809105298,17083619843.997,93994063.1095058,19.2870006561279,3.27839801524012
2017-02-21,1125.40881483565,18202277765.4907,157173668.24909,19.5799999237061,2.90800140994008
2017-02-22,1123.305,18168250822.125,99272532.7996693,19.4599990844727,2.90851401374934
2017-02-23,1185.65478468877,19176691563.4473,132273779.09306,19.3299999237061,2.83990060347888
2017-02-24,1180.871,19108706913.125,303444815.372077,19.4330005645752,2.85052556565117
2017-02-27,1193.12951503696,19314424735.2103,87503104.9005909,19.4419994354248,2.85688777787698
2017-02-28,1190.331,19271383899.147,139855221.835687,19.1879997253418,2.85561306442977
2017-03-01,1227.47714896609,19875003126.7717,105587214.842849,19.3780002593994,2.81541439380609
2017-03-02,1262.081,20437807786.697,174318244.924813,19.0230007171631,2.79598077763215
2017-03-03,1289.54061161915,20884867165.5111,152484577.441219,19,2.79232111692845
2017-03-06,1280.986,20753062038.1,65232264.8705651,18.7950000762939,2.80898876404494
2017-03-07,1233.056508408,19978921138.2858,213974224.53913,18.7569999694824,2.80726379506974
2017-03-08,1149.631,18629281761.825,248575333.390173,18.9160003662109,2.79280851806598
2017-03-09,1191.2367224851,19305673114.1232,149501332.425817,18.761999130249,2.70246709092494
2017-03-10,1100.01058997121,17829356645.9599,417086882.868425,18.69700050354,2.69518344635716
2017-03-13,1243.26492239019,20158188044.3214,131403644.087358,18.8850002288818,2.70482505889538
2017-03-14,1246.55673948076,20214039431.7461,86807305.1323227,18.8619995117188,2.70435313617727
2017-03-15,1258.457,20409261728.959,72763975.2935764,19.0020008087158,2.70364556078842
2017-03-16,1217.31454100788,19743578282.6542,137592935.414227,19.1049995422363,2.74287736683773
2017-03-17,1074.09386950625,17423426593.322,283988947.723681,19.1860008239746,2.75139788763646
2017-03-21,1112.70153227299,18058074337.215,150015664.593486,18.798999786377,2.68096514745308
2017-03-22,1039.84017264784,16877645842.2471,188848065.441006,18.6949996948242,2.70124257158293
2017-03-23,1029.1394137431,16705852353.5673,82048831.9755843,18.6410007476807,2.69978401727862
2017-03-24,940.020626559104,15261293153.4659,161801850.344657,18.6140003204346,2.70197243988111
2017-03-27,1042.60507261981,16932388062.8892,138288339.028228,18.6940002441406,2.6249094858798
2017-03-28,1044.722,16968792612.8,127643560.289464,18.7740001678467,2.62301013024602
2017-03-29,1038.61719761625,16871375654.3683,121169066.492291,18.7810001373291,2.70148581719946
2017-03-30,1031.49290564616,16757840043.7086,102438849.919161,18.8290004730225,2.69396551724138
2017-03-31,1078.27471109061,17519577833.2868,133287124.427143,18.7800006866455,2.51323938605152
2017-04-03,1139.30827544555,18517903140.1881,131765236.037536,18.7430000305176,2.52343186733958
2017-04-04,1140.49759038017,18539058629.5586,108222974.267025,18.625,2.52844500632111
2017-04-05,1132.33990499278,18408732920.4438,87439620.0216831,18.4109992980957,2.51798561151079
2017-04-06,1194.211,19416796070.1,128309277.223531,18.3490009307861,2.61214195640425
