"Date","BTC_USD","MSTR","MTPLF_USD"
2017-01-04,1130.84951632073,19.7940006256104,2.89657522576248
2017-01-05,990.6675,19.9610004425049,2.85813268664473
2017-01-06,894.0325,19.9169998168945,2.73855370132649
2017-01-10,905.759462698434,20.0779991149902,2.76481769483325
2017-01-11,784.2775,20.1000003814697,2.75245140202993
2017-01-12,799.4275,20.0470008850098,2.81022218319136
2017-01-13,824.4988,20.3799991607666,2.95575067373729
2017-01-17,904.1525,20.0919990539551,2.8328611898017
2017-01-18,873.935,20.2509994506836,2.7336860670194
2017-01-19,896.89,19.8999996185303,3.12228967909801
2017-01-23,918.9075,20.5100002288818,2.83436669619132
2017-01-24,885.7888,20.2959995269775,2.81615770483147
2017-01-25,893.4738,20.3299999237061,2.8169014084507
2017-01-26,915.36,20.1299991607666,2.8770706190061
2017-01-27,918.2875,19.9580001831055,2.77874261896492
2017-01-30,920.991145882262,19.9459991455078,2.81046899701388
2017-01-31,968.2663,20.1299991607666,2.8388928317956
2017-02-01,986.572890345435,19.6509990692139,2.91287845352635
2017-02-02,1008.40331822314,19.1499996185303,2.84495021337127
2017-02-03,1015.4425,19.5480003356934,2.84646859989326
2017-02-06,1024.51108860633,19.0300006866455,2.84900284900285
2017-02-07,1051.5,18.798999786377,2.85357588728375
2017-02-08,1055.3013,18.7490005493164,2.86379094326114
2017-02-09,981.705,19.0009994506836,2.7375485694101
2017-02-10,992.1113,18.9349994659424,2.82635576753224
2017-02-13,996.103935869811,19.1340007781982,2.81219790842781
2017-02-14,1010.10216185944,19.298999786377,2.79867063145006
2017-02-15,1008.8813,19.4150009155273,2.89042655688885
2017-02-16,1034.9038,19.2679996490479,2.91107974594213
2017-02-17,1056.55809105298,19.2870006561279,3.27839801524012
2017-02-21,1125.40881483565,19.5799999237061,2.90800140994008
2017-02-22,1123.305,19.4599990844727,2.90851401374934
2017-02-23,1185.65478468877,19.3299999237061,2.83990060347888
2017-02-24,1180.871,19.4330005645752,2.85052556565117
2017-02-27,1193.12951503696,19.4419994354248,2.85688777787698
2017-02-28,1190.331,19.1879997253418,2.85561306442977
2017-03-01,1227.47714896609,19.3780002593994,2.81541439380609
2017-03-02,1262.081,19.0230007171631,2.79598077763215
2017-03-03,1289.54061161915,19,2.79232111692845
2017-03-06,1280.986,18.7950000762939,2.80898876404494
2017-03-07,1233.056508408,18.7569999694824,2.80726379506974
2017-03-08,1149.631,18.9160003662109,2.79280851806598
2017-03-09,1191.2367224851,18.761999130249,2.70246709092494
2017-03-10,1100.01058997121,18.69700050354,2.69518344635716
2017-03-13,1243.26492239019,18.8850002288818,2.70482505889538
2017-03-14,1246.55673948076,18.8619995117188,2.70435313617727
2017-03-15,1258.457,19.0020008087158,2.70364556078842
2017-03-16,1217.31454100788,19.1049995422363,2.74287736683773
2017-03-17,1074.09386950625,19.1860008239746,2.75139788763646
2017-03-21,1112.70153227299,18.798999786377,2.68096514745308
2017-03-22,1039.84017264784,18.6949996948242,2.70124257158293
2017-03-23,1029.1394137431,18.6410007476807,2.69978401727862
2017-03-24,940.020626559104,18.6140003204346,2.70197243988111
2017-03-27,1042.60507261981,18.6940002441406,2.6249094858798
2017-03-28,1044.722,18.7740001678467,2.62301013024602
2017-03-29,1038.61719761625,18.7810001373291,2.70148581719946
2017-03-30,1031.49290564616,18.8290004730225,2.69396551724138
2017-03-31,1078.27471109061,18.7800006866455,2.51323938605152
2017-04-03,1139.30827544555,18.7430000305176,2.52343186733958
2017-04-04,1140.49759038017,18.625,2.52844500632111
2017-04-05,1132.33990499278,18.4109992980957,2.51798561151079
2017-04-06,1194.211,18.3490009307861,2.61214195640425
2017-04-07,1189.77512370321,18.2800006866455,2.5279884434814
2017-04-10,1210.515,18.4790000915527,2.43352861649392
2017-04-11,1226.618,18.5669994354248,2.36923637689083
2017-04-12,1218.299,18.3920001983643,2.37356216907066
2017-04-13,1174.209,18.1609992980957,2.47184839329854
2017-04-17,1205.143,18.4230003356934,2.48939701272358
2017-04-18,1217.58,18.5410003662109,2.49077490774908
2017-04-19,1225.721,18.5939998626709,2.47570144874381
2017-04-20,1253.904,18.8110008239746,2.56081946222791
2017-04-21,1254.9875,18.7590007781982,2.47524752475248
2017-04-24,1249.9563,19.0669994354248,2.4603608529251
2017-04-25,1263.045,19.068000793457,2.43506493506494
2017-04-26,1287.32,19.3010005950928,2.42109038737446
2017-04-27,1331.3125,19.2490005493164,2.42958697021506
2017-04-28,1321.205,19.0170001983643,2.51256281407035
2017-05-01,1408.445,19.1350002288818,2.41545893719807
2017-05-02,1442.245,18.8010005950928,2.40942352311262
2017-05-08,1633.38,19.1520004272461,2.57001063452676
2017-05-09,1700.1775,18.7880001068115,2.45205359488572
2017-05-10,1747.3175,18.7110004425049,2.54341343623926
2017-05-11,1808.7788,18.7049999237061,2.54900237320911
2017-05-12,1700.7725,18.5310001373291,2.47131509267432
2017-05-15,1696.13,18.7070007324219,2.55416593271094
2017-05-16,1716.315,18.7660007476807,2.56093253267397
2017-05-17,1804.4513,18.3899993896484,2.51211196841916
2017-05-18,1889.4088,18.4130001068115,2.52661974372857
2017-05-19,1972.9013,18.3780002593994,2.51188660626177
2017-05-22,2109.3963,18.5219993591309,2.51911830859199
2017-05-23,2292.7025,18.2099990844727,2.50806162665711
2017-05-24,2448.1313,18.1989994049072,2.49955365113373
2017-05-25,2366.9725,18.1499996185303,2.50671441360788
2017-05-26,2262.36,18.0769996643066,2.51572327044025
2017-05-30,2167.6438,18.2840003967285,2.52981568485725
